URL,Label,Username Length,Contains Numbers,Contains Special Characters,Followers,Following,Posts,Account Type,Account Activity,Friends Count,Platform,Account_Type_Business,Account_Type_Personal,Platform_facebook,Platform_instagram,Platform_twitter
https://twitter.com/kfvg0l0ld572,Fake,12,1,0,476,4439,21,Business,1,,twitter,True,False,False,False,True
https://www.facebook.com/david_miller,Real,12,0,1,30631,25510,556,Business,0,1499.0,facebook,True,False,True,False,False
https://twitter.com/michael_scott,Real,13,0,1,43420,2751,725,Personal,1,,twitter,False,True,False,False,True
https://twitter.com/86ey7n56mlb8jf,Fake,14,1,0,216,2665,19,Business,0,,twitter,True,False,False,False,True
https://www.facebook.com/r2xeu,Fake,5,1,0,414,3092,25,Personal,0,43.0,facebook,False,True,True,False,False
https://www.facebook.com/brian_clark,Real,11,0,1,9791,2946,1458,Business,1,2307.0,facebook,True,False,True,False,False
https://twitter.com/ka_q0_sz3v7_vf,Fake,14,1,1,88,4922,43,Business,0,,twitter,True,False,False,False,True
https://twitter.com/rx6lgfc5atn_,Fake,12,1,1,372,2305,10,Business,1,,twitter,True,False,False,False,True
https://www.instagram.com/r_f8x/,Fake,5,1,1,51,772,2,Business,0,,instagram,True,False,False,True,False
https://www.facebook.com/alex_johnson,Real,12,0,1,5955,216,778,Personal,1,315.0,facebook,False,True,True,False,False
https://twitter.com/f4j63q424niu,Fake,12,1,0,275,1282,32,Business,1,,twitter,True,False,False,False,True
https://www.facebook.com/r9651h_h8ub3vn,Fake,14,1,1,164,3233,43,Personal,0,33.0,facebook,False,True,True,False,False
https://twitter.com/lez0ktlgj9bn2,Fake,13,1,0,372,3977,20,Business,0,,twitter,True,False,False,False,True
https://twitter.com/sarah_brown,Real,11,0,1,41393,37490,1554,Personal,1,,twitter,False,True,False,False,True
https://twitter.com/p3lox1fix,Fake,9,1,0,32,3473,14,Personal,0,,twitter,False,True,False,False,True
https://www.facebook.com/ywcv8f85t8i,Fake,11,1,0,189,4172,49,Personal,1,99.0,facebook,False,True,True,False,False
https://twitter.com/mg6rettb,Fake,8,1,0,204,2077,44,Personal,0,,twitter,False,True,False,False,True
https://twitter.com/vnight5sqzk1,Fake,12,1,0,407,4867,1,Personal,0,,twitter,False,True,False,False,True
https://twitter.com/39z1g61e_v,Fake,10,1,1,35,2213,16,Personal,0,,twitter,False,True,False,False,True
https://www.instagram.com/xqpui1jvzwtn./,Fake,13,1,1,44,943,3,Business,0,,instagram,True,False,False,True,False
https://twitter.com/rxmpd,Fake,5,0,0,280,4433,30,Personal,0,,twitter,False,True,False,False,True
https://twitter.com/1q8_8gpduy,Fake,10,1,1,272,4320,48,Business,0,,twitter,True,False,False,False,True
https://www.instagram.com/r9zw71f2a/,Fake,9,1,0,67,927,0,Personal,0,,instagram,False,True,False,True,False
https://twitter.com/chris_rogers,Real,12,0,1,15085,4908,1171,Personal,1,,twitter,False,True,False,False,True
https://www.instagram.com/0gqo.j/,Fake,6,1,1,59,652,3,Personal,0,,instagram,False,True,False,True,False
https://twitter.com/sbscywhcnk,Fake,10,0,0,468,2223,27,Personal,0,,twitter,False,True,False,False,True
https://www.instagram.com/r9yfti6l/,Fake,8,1,0,58,997,3,Business,0,,instagram,True,False,False,True,False
https://www.facebook.com/1z3t5oyjhp0re1,Fake,14,1,0,316,3332,12,Personal,0,56.0,facebook,False,True,True,False,False
https://www.facebook.com/jessica_taylor,Real,14,0,1,43231,245,245,Personal,1,1875.0,facebook,False,True,True,False,False
https://www.facebook.com/david_miller,Real,12,0,1,39779,18119,977,Personal,1,4417.0,facebook,False,True,True,False,False
https://www.instagram.com/tlfy1vl/,Fake,7,1,0,7,410,2,Business,0,,instagram,True,False,False,True,False
https://www.facebook.com/olivia_wilson,Real,13,0,1,35813,23779,185,Personal,1,1191.0,facebook,False,True,True,False,False
https://twitter.com/al7fzne_bu,Fake,10,1,1,24,2276,8,Business,1,,twitter,True,False,False,False,True
https://www.facebook.com/oj59icwux,Fake,9,1,0,107,3875,35,Personal,0,233.0,facebook,False,True,True,False,False
https://twitter.com/michael_scott,Real,13,0,1,3425,368,404,Personal,1,,twitter,False,True,False,False,True
https://twitter.com/lisa_turner,Real,11,0,1,26781,26132,455,Personal,1,,twitter,False,True,False,False,True
https://www.facebook.com/olivia_wilson,Real,13,0,1,48929,47986,669,Business,1,4886.0,facebook,True,False,True,False,False
https://twitter.com/michael_scott,Real,13,0,1,21376,16566,1166,Personal,0,,twitter,False,True,False,False,True
https://www.facebook.com/david_miller,Real,12,0,1,29176,15350,1779,Business,1,1905.0,facebook,True,False,True,False,False
https://www.facebook.com/samantha_lee,Real,12,0,1,17237,13241,1130,Business,1,818.0,facebook,True,False,True,False,False
https://twitter.com/znyul8wwz1n4,Fake,12,1,0,232,3579,2,Personal,0,,twitter,False,True,False,False,True
https://www.facebook.com/david_miller,Real,12,0,1,42951,41001,957,Personal,0,1197.0,facebook,False,True,True,False,False
https://www.instagram.com/m4dp8s06glh2m/,Fake,13,1,0,36,363,4,Personal,1,,instagram,False,True,False,True,False
https://www.facebook.com/3o9yi041ee8t__m,Fake,15,1,1,8,3284,27,Personal,0,283.0,facebook,False,True,True,False,False
https://www.instagram.com/6ttvhd4kah./,Fake,11,1,1,57,705,5,Personal,0,,instagram,False,True,False,True,False
https://twitter.com/32x786nfv08_,Fake,12,1,1,366,3309,9,Personal,0,,twitter,False,True,False,False,True
https://twitter.com/oz_1bqabes37,Fake,12,1,1,442,547,32,Business,0,,twitter,True,False,False,False,True
https://www.facebook.com/3ht3l7vb4esg8,Fake,13,1,0,54,1630,34,Business,0,197.0,facebook,True,False,True,False,False
https://www.facebook.com/olivia_wilson,Real,13,0,1,9267,9101,1475,Personal,1,2878.0,facebook,False,True,True,False,False
https://www.facebook.com/alex_johnson,Real,12,0,1,11746,7782,1457,Business,1,4635.0,facebook,True,False,True,False,False
https://www.facebook.com/xl2q5edhyecfs_h,Fake,15,1,1,57,1858,50,Personal,0,40.0,facebook,False,True,True,False,False
https://www.instagram.com/76u.0uqnco/,Fake,10,1,1,29,812,10,Personal,1,,instagram,False,True,False,True,False
https://twitter.com/4inpyl,Fake,6,1,0,14,2515,11,Personal,0,,twitter,False,True,False,False,True
https://www.instagram.com/9lfg92vfc462ba/,Fake,14,1,0,38,608,5,Business,1,,instagram,True,False,False,True,False
https://www.instagram.com/ea7hx_ai0e0/,Fake,11,1,1,42,933,8,Personal,0,,instagram,False,True,False,True,False
https://www.facebook.com/jzwomd234e7,Fake,11,1,0,378,1694,18,Personal,0,224.0,facebook,False,True,True,False,False
https://twitter.com/sarah_brown,Real,11,0,1,25768,19579,1485,Personal,1,,twitter,False,True,False,False,True
https://www.facebook.com/312uyhnp,Fake,8,1,0,138,1675,22,Business,0,208.0,facebook,True,False,True,False,False
https://www.instagram.com/adr19.k./,Fake,8,1,1,82,666,7,Personal,0,,instagram,False,True,False,True,False
https://twitter.com/sf2k2642i,Fake,9,1,0,472,1584,13,Personal,0,,twitter,False,True,False,False,True
https://www.facebook.com/jessica_taylor,Real,14,0,1,19903,14692,1741,Personal,1,1629.0,facebook,False,True,True,False,False
https://www.instagram.com/lnpuvq0jkkj41b/,Fake,14,1,0,63,296,1,Business,0,,instagram,True,False,False,True,False
https://www.facebook.com/vj7pr,Fake,5,1,0,319,4980,15,Personal,0,23.0,facebook,False,True,True,False,False
https://www.facebook.com/tquk4mga98kha,Fake,13,1,0,97,2111,13,Personal,1,118.0,facebook,False,True,True,False,False
https://www.facebook.com/david_miller,Real,12,0,1,40828,5763,1727,Business,0,411.0,facebook,True,False,True,False,False
https://twitter.com/lisa_turner,Real,11,0,1,8578,73,1478,Business,0,,twitter,True,False,False,False,True
https://www.facebook.com/yq0tsm2oay18,Fake,12,1,0,135,4765,7,Personal,0,235.0,facebook,False,True,True,False,False
https://www.facebook.com/samantha_lee,Real,12,0,1,21673,6776,384,Business,1,4131.0,facebook,True,False,True,False,False
